Date,Indian rupee (INR)
1980-06-17,4646.33
1980-06-18,4732.04
1980-06-19,4691.67
1980-06-20,4742.9
1980-06-23,4662.13
1980-06-24,4710.47
1980-06-25,4889.56
1980-06-26,4877.3
1980-06-27,4937.0
1980-06-30,5150.43
1980-07-01,5102.19
1980-07-02,5235.04
1980-07-03,5198.66
1980-07-04,5193.63
1980-07-07,5107.66
1980-07-08,5353.55
1980-07-09,5271.49
1980-07-10,5165.92
1980-07-11,5147.9
1980-07-14,5031.39
1980-07-15,4828.31
1980-07-16,4856.55
1980-07-17,4883.37
1980-07-18,4741.97
1980-07-21,4803.91
1980-07-22,4726.75
1980-07-23,4891.77
1980-07-24,4894.39
1980-07-25,5038.61
1980-07-28,4958.84
1980-07-29,5038.03
1980-07-30,5002.75
1980-07-31,4813.23
1980-08-01,5013.99
1980-08-04,4846.42
1980-08-05,4892.37
1980-08-06,4851.17
1980-08-07,4913.84
1980-08-08,4902.9
1980-08-11,4769.37
1980-08-12,4762.27
1980-08-13,4776.44
1980-08-14,4830.48
1980-08-15,4845.58
1980-08-18,4719.26
1980-08-19,4847.06
1980-08-20,4846.25
1980-08-21,4981.63
1980-08-22,4966.83
1980-08-25,4966.83
1980-08-26,4871.63
1980-08-27,4884.04
1980-08-28,4915.7
1980-08-29,4903.62
1980-09-01,4823.32
1980-09-02,4860.02
1980-09-03,4905.66
1980-09-04,4905.3
1980-09-05,5000.6
1980-09-08,5073.15
1980-09-09,5233.45
1980-09-10,5306.26
1980-09-11,5212.18
1980-09-12,5343.69
1980-09-15,5195.95
1980-09-16,5192.01
1980-09-17,5239.73
1980-09-18,5228.49
1980-09-19,5231.27
1980-09-22,5375.06
1980-09-23,5587.25
1980-09-24,5513.09
1980-09-25,5467.41
1980-09-26,5413.61
1980-09-29,5325.98
1980-09-30,5211.3
1980-10-01,5267.79
1980-10-02,5249.43
1980-10-03,5202.82
1980-10-06,5185.5
1980-10-07,5265.47
1980-10-08,5223.45
1980-10-09,5273.95
1980-10-10,5276.01
1980-10-13,5254.99
1980-10-14,5211.22
1980-10-15,5230.4
1980-10-16,5187.96
1980-10-17,5145.15
1980-10-20,5075.8
1980-10-21,5026.99
1980-10-22,5079.07
1980-10-23,4986.73
1980-10-24,4856.16
1980-10-27,4893.87
1980-10-28,4869.01
1980-10-29,4954.28
1980-10-30,4955.7
1980-10-31,4911.2
1980-11-03,4864.65
1980-11-04,4977.53
1980-11-05,5045.7
1980-11-06,4903.26
1980-11-07,4644.88
1980-11-10,4787.0
1980-11-11,4656.62
1980-11-12,4723.74
1980-11-13,4737.44
1980-11-14,4764.94
1980-11-17,4712.37
1980-11-18,4615.67
1980-11-19,4912.33
1980-11-20,4930.16
1980-11-21,5008.56
1980-11-24,4993.74
1980-11-25,4795.56
1980-11-26,4882.58
1980-11-27,4844.76
1980-11-28,4871.92
1980-12-01,4990.41
1980-12-02,4945.45
1980-12-03,4945.17
1980-12-04,4988.28
1980-12-05,4893.55
1980-12-08,4846.85
1980-12-09,4841.07
1980-12-10,4691.77
1980-12-11,4572.94
1980-12-12,4366.03
1980-12-15,4588.74
1980-12-16,4444.58
1980-12-17,4530.23
1980-12-18,4575.87
1980-12-19,4423.58
1980-12-22,4692.4
1980-12-23,4742.89
1980-12-24,4739.7
1980-12-25,4739.7
1980-12-26,4739.7
1980-12-29,4759.57
1980-12-30,4609.43
1980-12-31,4620.33
